,BACKGROUND,CONCLUSIONS,METHODS,OBJECTIVE,RESULTS,accuracy,macro avg,weighted avg
precision,0.6708764926528786,0.9678603786180916,0.9189318230461483,0.8269402319357716,0.8684467183627788,0.8636191957342813,0.8506111289231338,0.873058450091428
recall,0.8972706770377871,0.7470921672555948,0.9403905447070915,0.40190765228701497,0.9372595033906786,0.8636191957342813,0.7847841089356334,0.8636191957342813
f1-score,0.7677312645217186,0.8432663744573007,0.9295373546947341,0.5409190371991247,0.9015419343059636,0.8636191957342813,0.7965991930357683,0.8581094586389029
support,21727.0,27168.0,59353.0,13839.0,57953.0,0.8636191957342813,180040.0,180040.0
